path,jenis,kerusakan,jenis_idx,kerusakan_idx,joint_idx,scene_group,fold
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1023.png,BANJIR,KERUSAKAN RINGAN,0,0,0,20,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1024.png,BANJIR,KERUSAKAN RINGAN,0,0,0,21,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1025.png,BANJIR,KERUSAKAN RINGAN,0,0,0,22,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1026.png,BANJIR,KERUSAKAN RINGAN,0,0,0,23,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1027.png,BANJIR,KERUSAKAN RINGAN,0,0,0,24,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1028.png,BANJIR,KERUSAKAN RINGAN,0,0,0,24,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1029.png,BANJIR,KERUSAKAN RINGAN,0,0,0,25,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/103.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,26,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1030.png,BANJIR,KERUSAKAN RINGAN,0,0,0,27,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1031.png,BANJIR,KERUSAKAN RINGAN,0,0,0,28,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1032.png,BANJIR,KERUSAKAN RINGAN,0,0,0,28,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1033.png,BANJIR,KERUSAKAN RINGAN,0,0,0,29,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1034.png,BANJIR,KERUSAKAN RINGAN,0,0,0,30,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1035.png,BANJIR,KERUSAKAN RINGAN,0,0,0,31,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1036.png,BANJIR,KERUSAKAN RINGAN,0,0,0,32,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1037.png,BANJIR,KERUSAKAN RINGAN,0,0,0,33,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1038.png,BANJIR,KERUSAKAN RINGAN,0,0,0,33,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1039.png,BANJIR,KERUSAKAN RINGAN,0,0,0,33,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/104.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,34,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1040.png,BANJIR,KERUSAKAN RINGAN,0,0,0,35,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1041.png,BANJIR,KERUSAKAN RINGAN,0,0,0,36,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1042.png,BANJIR,KERUSAKAN RINGAN,0,0,0,37,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1043.png,BANJIR,KERUSAKAN RINGAN,0,0,0,38,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1044.png,BANJIR,KERUSAKAN RINGAN,0,0,0,39,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1045.png,BANJIR,KERUSAKAN RINGAN,0,0,0,40,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1046.png,BANJIR,KERUSAKAN RINGAN,0,0,0,41,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1047.png,BANJIR,KERUSAKAN RINGAN,0,0,0,42,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1048.png,BANJIR,KERUSAKAN RINGAN,0,0,0,43,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1049.png,BANJIR,KERUSAKAN RINGAN,0,0,0,44,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/105.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,45,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1050.png,BANJIR,KERUSAKAN RINGAN,0,0,0,46,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1051.png,BANJIR,KERUSAKAN RINGAN,0,0,0,47,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1052.png,BANJIR,KERUSAKAN RINGAN,0,0,0,47,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1053.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1063,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1054.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1064,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1055.png,BANJIR,KERUSAKAN RINGAN,0,0,0,48,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1056.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1065,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1057.png,BANJIR,KERUSAKAN RINGAN,0,0,0,49,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1058.png,BANJIR,KERUSAKAN RINGAN,0,0,0,50,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1059.png,BANJIR,KERUSAKAN RINGAN,0,0,0,51,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/106.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,52,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1060.png,BANJIR,KERUSAKAN RINGAN,0,0,0,53,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1061.png,BANJIR,KERUSAKAN RINGAN,0,0,0,54,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1062.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1066,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1063.png,BANJIR,KERUSAKAN RINGAN,0,0,0,55,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1064.png,BANJIR,KERUSAKAN RINGAN,0,0,0,56,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1065.png,BANJIR,KERUSAKAN RINGAN,0,0,0,57,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1066.png,BANJIR,KERUSAKAN RINGAN,0,0,0,58,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1067.png,BANJIR,KERUSAKAN RINGAN,0,0,0,59,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1068.png,BANJIR,KERUSAKAN RINGAN,0,0,0,60,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1069.png,BANJIR,KERUSAKAN RINGAN,0,0,0,61,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/107.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,62,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1070.png,BANJIR,KERUSAKAN RINGAN,0,0,0,63,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1071.png,BANJIR,KERUSAKAN RINGAN,0,0,0,64,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1072.png,BANJIR,KERUSAKAN RINGAN,0,0,0,65,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1073.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1067,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1074.png,BANJIR,KERUSAKAN RINGAN,0,0,0,66,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1075.png,BANJIR,KERUSAKAN RINGAN,0,0,0,67,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1076.png,BANJIR,KERUSAKAN RINGAN,0,0,0,68,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1077.png,BANJIR,KERUSAKAN RINGAN,0,0,0,69,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1078.png,BANJIR,KERUSAKAN RINGAN,0,0,0,70,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1079.png,BANJIR,KERUSAKAN RINGAN,0,0,0,71,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/108.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,72,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1080.png,BANJIR,KERUSAKAN RINGAN,0,0,0,73,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1081.png,BANJIR,KERUSAKAN RINGAN,0,0,0,74,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1082.png,BANJIR,KERUSAKAN RINGAN,0,0,0,74,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1083.png,BANJIR,KERUSAKAN RINGAN,0,0,0,75,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1084.png,BANJIR,KERUSAKAN RINGAN,0,0,0,76,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1085.png,BANJIR,KERUSAKAN RINGAN,0,0,0,77,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1086.png,BANJIR,KERUSAKAN RINGAN,0,0,0,78,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1087.png,BANJIR,KERUSAKAN RINGAN,0,0,0,79,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1088.png,BANJIR,KERUSAKAN RINGAN,0,0,0,80,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1089.png,BANJIR,KERUSAKAN RINGAN,0,0,0,81,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/109.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,82,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1090.png,BANJIR,KERUSAKAN RINGAN,0,0,0,83,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1091.png,BANJIR,KERUSAKAN RINGAN,0,0,0,84,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1092.png,BANJIR,KERUSAKAN RINGAN,0,0,0,85,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1093.png,BANJIR,KERUSAKAN RINGAN,0,0,0,86,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1094.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1068,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1095.png,BANJIR,KERUSAKAN RINGAN,0,0,0,87,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1096.png,BANJIR,KERUSAKAN RINGAN,0,0,0,88,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1097.png,BANJIR,KERUSAKAN RINGAN,0,0,0,89,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1098.png,BANJIR,KERUSAKAN RINGAN,0,0,0,90,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1099.png,BANJIR,KERUSAKAN RINGAN,0,0,0,91,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/11.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,931,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/110.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,92,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1100.png,BANJIR,KERUSAKAN RINGAN,0,0,0,93,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1101.png,BANJIR,KERUSAKAN RINGAN,0,0,0,94,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1102.png,BANJIR,KERUSAKAN RINGAN,0,0,0,95,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1103.png,BANJIR,KERUSAKAN RINGAN,0,0,0,96,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1104.png,BANJIR,KERUSAKAN RINGAN,0,0,0,97,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1105.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1069,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1106.png,BANJIR,KERUSAKAN RINGAN,0,0,0,98,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1107.png,BANJIR,KERUSAKAN RINGAN,0,0,0,98,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1108.png,BANJIR,KERUSAKAN RINGAN,0,0,0,98,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1109.png,BANJIR,KERUSAKAN RINGAN,0,0,0,98,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/111.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,99,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1110.png,BANJIR,KERUSAKAN RINGAN,0,0,0,100,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1111.png,BANJIR,KERUSAKAN RINGAN,0,0,0,101,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1112.png,BANJIR,KERUSAKAN RINGAN,0,0,0,102,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1113.png,BANJIR,KERUSAKAN RINGAN,0,0,0,103,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1114.png,BANJIR,KERUSAKAN RINGAN,0,0,0,104,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1115.png,BANJIR,KERUSAKAN RINGAN,0,0,0,105,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1116.png,BANJIR,KERUSAKAN RINGAN,0,0,0,106,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1117.png,BANJIR,KERUSAKAN RINGAN,0,0,0,106,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1118.png,BANJIR,KERUSAKAN RINGAN,0,0,0,107,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1119.png,BANJIR,KERUSAKAN RINGAN,0,0,0,108,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/112.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,109,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1120.png,BANJIR,KERUSAKAN RINGAN,0,0,0,110,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1121.png,BANJIR,KERUSAKAN RINGAN,0,0,0,110,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1122.png,BANJIR,KERUSAKAN RINGAN,0,0,0,111,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1123.png,BANJIR,KERUSAKAN RINGAN,0,0,0,112,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1124.png,BANJIR,KERUSAKAN RINGAN,0,0,0,113,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1125.png,BANJIR,KERUSAKAN RINGAN,0,0,0,114,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1126.png,BANJIR,KERUSAKAN RINGAN,0,0,0,115,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1127.png,BANJIR,KERUSAKAN RINGAN,0,0,0,116,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1128.png,BANJIR,KERUSAKAN RINGAN,0,0,0,117,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1129.png,BANJIR,KERUSAKAN RINGAN,0,0,0,118,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/113.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,119,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1130.png,BANJIR,KERUSAKAN RINGAN,0,0,0,120,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1131.png,BANJIR,KERUSAKAN RINGAN,0,0,0,121,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1132.png,BANJIR,KERUSAKAN RINGAN,0,0,0,122,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1133.png,BANJIR,KERUSAKAN RINGAN,0,0,0,123,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1134.png,BANJIR,KERUSAKAN RINGAN,0,0,0,124,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1135.png,BANJIR,KERUSAKAN RINGAN,0,0,0,125,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1136.png,BANJIR,KERUSAKAN RINGAN,0,0,0,126,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1137.png,BANJIR,KERUSAKAN RINGAN,0,0,0,127,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1138.png,BANJIR,KERUSAKAN RINGAN,0,0,0,128,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1139.png,BANJIR,KERUSAKAN RINGAN,0,0,0,129,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/114.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,130,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1140.png,BANJIR,KERUSAKAN RINGAN,0,0,0,131,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1141.png,BANJIR,KERUSAKAN RINGAN,0,0,0,132,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1142.png,BANJIR,KERUSAKAN RINGAN,0,0,0,133,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1143.png,BANJIR,KERUSAKAN RINGAN,0,0,0,134,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1144.png,BANJIR,KERUSAKAN RINGAN,0,0,0,135,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1145.png,BANJIR,KERUSAKAN RINGAN,0,0,0,136,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1146.png,BANJIR,KERUSAKAN RINGAN,0,0,0,137,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1147.png,BANJIR,KERUSAKAN RINGAN,0,0,0,138,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1148.png,BANJIR,KERUSAKAN RINGAN,0,0,0,139,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1149.png,BANJIR,KERUSAKAN RINGAN,0,0,0,140,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/115.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,141,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1150.png,BANJIR,KERUSAKAN RINGAN,0,0,0,142,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1151.png,BANJIR,KERUSAKAN RINGAN,0,0,0,143,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1152.png,BANJIR,KERUSAKAN RINGAN,0,0,0,144,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1153.png,BANJIR,KERUSAKAN RINGAN,0,0,0,145,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1154.png,BANJIR,KERUSAKAN RINGAN,0,0,0,146,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1155.png,BANJIR,KERUSAKAN RINGAN,0,0,0,147,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1156.png,BANJIR,KERUSAKAN RINGAN,0,0,0,148,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1157.png,BANJIR,KERUSAKAN RINGAN,0,0,0,149,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1158.png,BANJIR,KERUSAKAN RINGAN,0,0,0,150,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1159.png,BANJIR,KERUSAKAN RINGAN,0,0,0,151,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/116.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,152,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1160.png,BANJIR,KERUSAKAN RINGAN,0,0,0,153,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1161.png,BANJIR,KERUSAKAN RINGAN,0,0,0,154,4
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1162.png,BANJIR,KERUSAKAN RINGAN,0,0,0,155,1
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1163.png,BANJIR,KERUSAKAN RINGAN,0,0,0,156,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1164.png,BANJIR,KERUSAKAN RINGAN,0,0,0,157,3
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1165.png,BANJIR,KERUSAKAN RINGAN,0,0,0,158,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1166.png,BANJIR,KERUSAKAN RINGAN,0,0,0,159,0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1167.png,BANJIR,KERUSAKAN RINGAN,0,0,0,160,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1168.png,BANJIR,KERUSAKAN RINGAN,0,0,0,161,2
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1169.png,BANJIR,KERUSAKAN RINGAN,0,0,0,162,4
